family,op_pair,producer_class,consumer_class,dtype,R,C,arith_intensity,beneficial,bytes_fused,bytes_unfused,f_occ,f_occ_binder,f_regs,f_smem,f_spilled,f_spills,f_threads,flops,maxdiff,n_launches_unfused,param_BLOCK,param_BLOCK_C,param_BLOCK_R,param_GS,param_K,param_NOUT,param_num_warps,speedup,t_fused_min,t_fused_ms,t_unfused_min,t_unfused_ms,u_occ,u_regs,u_smem,u_spilled,u_spills,f_reread,u_reread,param_M,param_N
pointwise,pointwise_chain_k32,pointwise,pointwise,float16,8192,2048,40.0,1,67108864,2147483648,1.0,warps,19,0.0,0.0,0,128.0,2684354560,0.0,32,1024.0,,,,32.0,,4.0,3.7806,3.03718,3.79597,12.45491,14.35085,1.0,18,0.0,0.0,0,1,1,,
pointwise,pointwise_chain_k32,pointwise,pointwise,float32,8192,2048,20.0,1,134217728,4294967296,1.0,warps,23,0.0,0.0,0,128.0,2684354560,0.0,32,1024.0,,,,32.0,,4.0,7.4657,3.48877,3.62957,22.80346,27.09709,1.0,21,0.0,0.0,0,1,1,,
pointwise,pointwise_chain_k1,pointwise,pointwise,float16,4096,8192,1.25,0,134217728,134217728,1.0,warps,18,0.0,0.0,0,128.0,167772160,0.0,1,1024.0,,,,1.0,,4.0,0.9958,0.67686,0.72346,0.67686,0.72038,1.0,18,0.0,0.0,0,1,1,,
pointwise,pointwise_chain_k1,pointwise,pointwise,float32,4096,8192,0.625,0,268435456,268435456,1.0,warps,21,0.0,0.0,0,128.0,167772160,0.0,1,1024.0,,,,1.0,,4.0,0.9118,1.19194,1.37011,1.18886,1.24928,1.0,21,0.0,0.0,0,1,1,,
pointwise,pointwise_chain_k2,pointwise,pointwise,float16,4096,8192,2.5,1,134217728,268435456,1.0,warps,19,0.0,0.0,0,128.0,335544320,0.0,2,1024.0,,,,2.0,,4.0,1.8237,0.59494,0.9175,1.20934,1.67322,1.0,18,0.0,0.0,0,1,1,,
pointwise,pointwise_chain_k2,pointwise,pointwise,float32,4096,8192,1.25,1,268435456,536870912,1.0,warps,25,0.0,0.0,0,128.0,335544320,0.0,2,1024.0,,,,2.0,,4.0,2.2711,1.18374,1.25798,2.26304,2.85696,1.0,21,0.0,0.0,0,1,1,,
pointwise,pointwise_chain_k4,pointwise,pointwise,float16,4096,8192,5.0,1,134217728,536870912,1.0,warps,19,0.0,0.0,0,128.0,671088640,0.0,4,1024.0,,,,4.0,,4.0,2.2484,1.09875,1.77254,3.6567,3.98541,1.0,18,0.0,0.0,0,1,1,,
pointwise,pointwise_chain_k4,pointwise,pointwise,float32,4096,8192,2.5,1,268435456,1073741824,1.0,warps,24,0.0,0.0,0,128.0,671088640,0.0,4,1024.0,,,,4.0,,4.0,3.7272,1.18067,1.81862,4.7872,6.77837,1.0,21,0.0,0.0,0,1,1,,
pointwise,pointwise_chain_k8,pointwise,pointwise,float16,4096,8192,10.0,1,134217728,1073741824,1.0,warps,19,0.0,0.0,0,128.0,1342177280,0.0,8,1024.0,,,,8.0,,4.0,3.7965,2.13094,2.19648,5.21933,8.33894,1.0,18,0.0,0.0,0,1,1,,
pointwise,pointwise_chain_k8,pointwise,pointwise,float32,4096,8192,5.0,1,268435456,2147483648,1.0,warps,23,0.0,0.0,0,128.0,1342177280,0.0,8,1024.0,,,,8.0,,4.0,4.6163,1.87699,3.05869,11.98182,14.11994,1.0,21,0.0,0.0,0,1,1,,
pointwise,pointwise_chain_k16,pointwise,pointwise,float16,4096,8192,20.0,1,134217728,2147483648,1.0,warps,19,0.0,0.0,0,128.0,2684354560,0.0,16,1024.0,,,,16.0,,4.0,3.9586,3.67002,3.67206,9.83245,14.53619,1.0,18,0.0,0.0,0,1,1,,
pointwise,pointwise_chain_k16,pointwise,pointwise,float32,4096,8192,10.0,1,268435456,4294967296,1.0,warps,23,0.0,0.0,0,128.0,2684354560,0.0,16,1024.0,,,,16.0,,4.0,5.9214,3.83181,3.96698,22.85158,23.49005,1.0,21,0.0,0.0,0,1,1,,
pointwise,pointwise_chain_k32,pointwise,pointwise,float16,4096,8192,40.0,1,134217728,4294967296,1.0,warps,19,0.0,0.0,0,128.0,5368709120,0.0,32,1024.0,,,,32.0,,4.0,3.0288,7.57248,7.57965,22.55872,22.95706,1.0,18,0.0,0.0,0,1,1,,
pointwise,pointwise_chain_k32,pointwise,pointwise,float32,4096,8192,20.0,1,268435456,8589934592,1.0,warps,23,0.0,0.0,0,128.0,5368709120,0.0,32,1024.0,,,,32.0,,4.0,8.0163,7.23354,7.24582,45.90797,58.08435,1.0,21,0.0,0.0,0,1,1,,
reduction,sibling_redux_n32,pointwise,reduction,float16,1024,1024,29.2571,1,2293760,4390912,0.1667,regs,255,2304.0,0.0,0,128.0,67108864,0.0,2,,32.0,32.0,16.0,,32.0,4.0,1.0813,0.84275,0.84378,0.90726,0.91238,0.3333,128,2560.0,0.0,0,1,1,,
reduction,sibling_redux_n32,pointwise,reduction,float32,1024,1024,15.0588,1,4456448,8650752,0.1667,regs,255,2304.0,0.0,0,128.0,67108864,0.0,2,,32.0,32.0,16.0,,32.0,4.0,1.0617,0.77517,0.78029,0.82637,0.82842,0.3333,128,2560.0,0.0,0,1,1,,
reduction,sibling_redux_n64,pointwise,reduction,float16,1024,1024,53.8947,0,2490368,8781824,0.1667,regs,255,2176.0,1.0,300,128.0,134217728,0.0,4,,32.0,32.0,16.0,,64.0,4.0,0.9818,1.85139,1.85549,1.81658,1.8217,0.3333,128,2560.0,0.0,0,1,1,,
reduction,sibling_redux_n64,pointwise,reduction,float32,1024,1024,28.4444,0,4718592,17301504,0.1667,regs,255,2176.0,1.0,310,128.0,134217728,0.0,4,,32.0,32.0,16.0,,64.0,4.0,0.9163,1.79712,1.79917,1.64659,1.64864,0.3333,128,2560.0,0.0,0,1,1,,
reduction,sibling_redux_n128,pointwise,reduction,float16,1024,1024,93.0909,0,2883584,17563648,1.0,regs,40,2112.0,1.0,1986,128.0,268435456,0.0,8,,32.0,32.0,16.0,,128.0,4.0,0.2875,12.0105,12.66022,3.6311,3.6393,0.3333,128,2560.0,0.0,0,1,1,,
reduction,sibling_redux_n128,pointwise,reduction,float32,1024,1024,51.2,0,5242880,34603008,1.0,regs,40,2176.0,1.0,1868,128.0,268435456,0.0,8,,32.0,32.0,16.0,,128.0,4.0,0.2556,11.62957,12.86656,3.28704,3.28909,0.3333,128,2560.0,0.0,0,1,1,,
reduction,sibling_redux_n32,pointwise,reduction,float16,2048,2048,30.5672,1,8781824,17170432,0.1667,regs,255,2304.0,0.0,0,128.0,268435456,0.0,2,,32.0,32.0,16.0,,32.0,4.0,1.0143,2.58048,2.58253,2.61427,2.61939,0.3333,128,2560.0,0.0,0,1,1,,
reduction,sibling_redux_n32,pointwise,reduction,float32,2048,2048,15.5152,1,17301504,34078720,0.1667,regs,255,2304.0,0.0,0,128.0,268435456,0.0,2,,32.0,32.0,16.0,,32.0,4.0,1.0429,2.2999,2.30246,2.39821,2.40128,0.3333,128,2560.0,0.0,0,1,1,,
reduction,sibling_redux_n64,pointwise,reduction,float16,2048,2048,58.5143,0,9175040,34340864,0.1667,regs,255,2176.0,1.0,300,128.0,536870912,0.0,4,,32.0,32.0,16.0,,64.0,4.0,0.9378,5.57158,5.5767,5.22445,5.22957,0.3333,128,2560.0,0.0,0,1,1,,
reduction,sibling_redux_n64,pointwise,reduction,float32,2048,2048,30.1176,0,17825792,68157440,0.1667,regs,255,2176.0,1.0,310,128.0,536870912,0.0,4,,32.0,32.0,16.0,,64.0,4.0,0.8939,5.35654,5.36218,4.79027,4.79334,0.3333,128,2560.0,0.0,0,1,1,,
reduction,sibling_redux_n128,pointwise,reduction,float16,2048,2048,107.7895,0,9961472,68681728,1.0,regs,40,2112.0,1.0,1986,128.0,1073741824,0.0,8,,32.0,32.0,16.0,,128.0,4.0,0.126,65.09261,82.99315,10.44378,10.45504,0.3333,128,2560.0,0.0,0,1,1,,
reduction,sibling_redux_n128,pointwise,reduction,float32,2048,2048,56.8889,0,18874368,136314880,1.0,regs,40,2176.0,1.0,1868,128.0,1073741824,0.0,8,,32.0,32.0,16.0,,128.0,4.0,0.1191,69.00327,80.42854,9.57235,9.57696,0.3333,128,2560.0,0.0,0,1,1,,
reduction,sibling_redux_n32,pointwise,reduction,float16,4096,1024,29.8978,1,8978432,17367040,0.1667,regs,255,2304.0,0.0,0,128.0,268435456,0.0,2,,32.0,32.0,16.0,,32.0,4.0,1.0033,2.44429,2.44736,2.44326,2.45555,0.3333,128,2560.0,0.0,0,1,1,,
reduction,sibling_redux_n32,pointwise,reduction,float32,4096,1024,15.3985,1,17432576,34209792,0.1667,regs,255,2304.0,0.0,0,128.0,268435456,0.0,2,,32.0,32.0,16.0,,32.0,4.0,1.0346,2.24666,2.2487,2.32243,2.32653,0.3333,128,2560.0,0.0,0,1,1,,
reduction,sibling_redux_n64,pointwise,reduction,float16,4096,1024,56.1096,0,9568256,34734080,0.1667,regs,255,2176.0,1.0,300,128.0,536870912,0.0,4,,32.0,32.0,16.0,,64.0,4.0,0.9065,5.40467,5.41082,4.89677,4.90496,0.3333,128,2560.0,0.0,0,1,1,,
reduction,sibling_redux_n64,pointwise,reduction,float32,4096,1024,29.6812,0,18087936,68419584,0.1667,regs,255,2176.0,1.0,310,128.0,536870912,0.0,4,,32.0,32.0,16.0,,64.0,4.0,0.8813,5.26234,5.2695,4.64077,4.64384,0.3333,128,2560.0,0.0,0,1,1,,
reduction,sibling_redux_n128,pointwise,reduction,float16,4096,1024,99.9024,0,10747904,69468160,1.0,regs,40,2112.0,1.0,1986,128.0,1073741824,0.0,8,,32.0,32.0,16.0,,128.0,4.0,0.0974,91.69305,100.64742,9.78944,9.80378,0.3333,128,2560.0,0.0,0,1,1,,
reduction,sibling_redux_n128,pointwise,reduction,float32,4096,1024,55.3514,0,19398656,136839168,1.0,regs,40,2176.0,1.0,1868,128.0,1073741824,0.0,8,,32.0,32.0,16.0,,128.0,4.0,0.0921,95.17568,100.79898,9.27642,9.28051,0.3333,128,2560.0,0.0,0,1,1,,
reduction,sibling_redux_n32,pointwise,reduction,float16,2048,4096,31.0303,1,17301504,34078720,0.1667,regs,255,2304.0,0.0,0,128.0,536870912,0.0,2,,32.0,32.0,16.0,,32.0,4.0,1.0117,5.15584,5.15789,5.20602,5.2183,0.3333,128,2560.0,0.0,0,1,1,,
reduction,sibling_redux_n32,pointwise,reduction,float32,2048,4096,15.6336,1,34340864,67895296,0.1667,regs,255,2304.0,0.0,0,128.0,536870912,0.0,2,,32.0,32.0,16.0,,32.0,4.0,1.0441,4.59162,4.59469,4.79334,4.79744,0.3333,128,2560.0,0.0,0,1,1,,
reduction,sibling_redux_n64,pointwise,reduction,float16,2048,4096,60.2353,0,17825792,68157440,0.1667,regs,255,2176.0,1.0,300,128.0,1073741824,0.0,4,,32.0,32.0,16.0,,64.0,4.0,0.9353,11.12371,11.13395,10.39667,10.41408,0.3333,128,2560.0,0.0,0,1,1,,
reduction,sibling_redux_n64,pointwise,reduction,float32,2048,4096,30.5672,0,35127296,135790592,0.1667,regs,255,2176.0,1.0,310,128.0,1073741824,0.0,4,,32.0,32.0,16.0,,64.0,4.0,0.8961,10.69978,10.70643,9.58874,9.59386,0.3333,128,2560.0,0.0,0,1,1,,
reduction,sibling_redux_n128,pointwise,reduction,float16,2048,4096,113.7778,0,18874368,136314880,1.0,regs,40,2112.0,1.0,1986,128.0,2147483648,0.0,8,,32.0,32.0,16.0,,128.0,4.0,0.1204,159.33337,172.77389,20.77184,20.80768,0.3333,128,2560.0,0.0,0,1,1,,
reduction,sibling_redux_n128,pointwise,reduction,float32,2048,4096,58.5143,0,36700160,271581184,1.0,regs,40,2176.0,1.0,1868,128.0,2147483648,0.0,8,,32.0,32.0,16.0,,128.0,4.0,0.1114,162.39616,172.17178,19.1703,19.17901,0.3333,128,2560.0,0.0,0,1,1,,
