family,op_pair,producer_class,consumer_class,dtype,R,C,arith_intensity,beneficial,bytes_fused,bytes_unfused,f_occ,f_occ_binder,f_regs,f_smem,f_spilled,f_spills,f_threads,flops,maxdiff,n_launches_unfused,param_BLOCK,param_BLOCK_C,param_BLOCK_R,param_GS,param_K,param_NOUT,param_num_warps,speedup,t_fused_min,t_fused_ms,t_unfused_min,t_unfused_ms,u_occ,u_regs,u_smem,u_spilled,u_spills,f_reread,u_reread,param_M,param_N
pointwise,pointwise_chain_k32,pointwise,pointwise,float16,8192,2048,40.0,1,67108864,2147483648,1.0,warps,46,0.0,0.0,0,256.0,2684354560,0.0,32,1024.0,,,,32.0,,4.0,1.1899,2.07974,2.08051,2.47219,2.47552,1.0,45,0.0,0.0,0,1,1,,
pointwise,pointwise_chain_k32,pointwise,pointwise,float32,8192,2048,20.0,1,134217728,4294967296,1.0,regs,57,0.0,0.0,0,256.0,2684354560,0.0,32,1024.0,,,,32.0,,4.0,1.5276,1.95379,1.95456,2.98214,2.98573,1.0,48,0.0,0.0,0,1,1,,
pointwise,pointwise_chain_k1,pointwise,pointwise,float16,4096,8192,1.25,1,134217728,134217728,1.0,warps,45,0.0,0.0,0,256.0,167772160,0.0,1,1024.0,,,,1.0,,4.0,1.0016,0.16128,0.16205,0.16128,0.1623,1.0,45,0.0,0.0,0,1,1,,
pointwise,pointwise_chain_k1,pointwise,pointwise,float32,4096,8192,0.625,0,268435456,268435456,1.0,warps,48,0.0,0.0,0,256.0,167772160,0.0,1,1024.0,,,,1.0,,4.0,0.9987,0.19183,0.19405,0.19226,0.19379,1.0,48,0.0,0.0,0,1,1,,
pointwise,pointwise_chain_k2,pointwise,pointwise,float16,4096,8192,2.5,1,134217728,268435456,1.0,warps,46,0.0,0.0,0,256.0,335544320,0.0,2,1024.0,,,,2.0,,4.0,1.0934,0.28442,0.28493,0.31053,0.31155,1.0,45,0.0,0.0,0,1,1,,
pointwise,pointwise_chain_k2,pointwise,pointwise,float32,4096,8192,1.25,1,268435456,536870912,1.0,regs,57,0.0,0.0,0,256.0,335544320,0.0,2,1024.0,,,,2.0,,4.0,1.3856,0.27059,0.27123,0.37427,0.37581,1.0,48,0.0,0.0,0,1,1,,
pointwise,pointwise_chain_k4,pointwise,pointwise,float16,4096,8192,5.0,1,134217728,536870912,1.0,warps,46,0.0,0.0,0,256.0,671088640,0.0,4,1024.0,,,,4.0,,4.0,1.1282,0.54067,0.54118,0.60954,0.61056,1.0,45,0.0,0.0,0,1,1,,
pointwise,pointwise_chain_k4,pointwise,pointwise,float32,4096,8192,2.5,1,268435456,1073741824,1.0,regs,57,0.0,0.0,0,256.0,671088640,0.0,4,1024.0,,,,4.0,,4.0,1.4486,0.5097,0.51021,0.73677,0.73907,1.0,48,0.0,0.0,0,1,1,,
pointwise,pointwise_chain_k8,pointwise,pointwise,float16,4096,8192,10.0,1,134217728,1073741824,1.0,warps,46,0.0,0.0,0,256.0,1342177280,0.0,8,1024.0,,,,8.0,,4.0,1.1443,1.05446,1.05523,1.2055,1.20755,1.0,45,0.0,0.0,0,1,1,,
pointwise,pointwise_chain_k8,pointwise,pointwise,float32,4096,8192,5.0,1,268435456,2147483648,1.0,regs,57,0.0,0.0,0,256.0,1342177280,0.0,8,1024.0,,,,8.0,,4.0,1.4787,0.99098,0.99149,1.46253,1.46611,1.0,48,0.0,0.0,0,1,1,,
pointwise,pointwise_chain_k16,pointwise,pointwise,float16,4096,8192,20.0,1,134217728,2147483648,1.0,warps,46,0.0,0.0,0,256.0,2684354560,0.0,16,1024.0,,,,16.0,,4.0,1.1547,2.08077,2.08128,2.39872,2.40333,1.0,45,0.0,0.0,0,1,1,,
pointwise,pointwise_chain_k16,pointwise,pointwise,float32,4096,8192,10.0,1,268435456,4294967296,1.0,regs,57,0.0,0.0,0,256.0,2684354560,0.0,16,1024.0,,,,16.0,,4.0,1.4941,1.95507,1.95584,2.91712,2.92224,1.0,48,0.0,0.0,0,1,1,,
pointwise,pointwise_chain_k32,pointwise,pointwise,float16,4096,8192,40.0,1,134217728,4294967296,1.0,warps,46,0.0,0.0,0,256.0,5368709120,0.0,32,1024.0,,,,32.0,,4.0,1.153,4.1344,4.15923,4.79283,4.79565,1.0,45,0.0,0.0,0,1,1,,
pointwise,pointwise_chain_k32,pointwise,pointwise,float32,4096,8192,20.0,1,268435456,8589934592,1.0,regs,57,0.0,0.0,0,256.0,5368709120,0.0,32,1024.0,,,,32.0,,4.0,1.4954,3.88301,3.90067,5.82579,5.83296,1.0,48,0.0,0.0,0,1,1,,
reduction,sibling_redux_n32,pointwise,reduction,float16,1024,1024,29.2571,1,2293760,4390912,0.25,regs,256,4608.0,1.0,100,256.0,67108864,0.0,2,,32.0,32.0,16.0,,32.0,4.0,1.1025,1.06291,1.0665,1.17094,1.17581,0.25,256,2304.0,1.0,52,1,1,,
reduction,sibling_redux_n32,pointwise,reduction,float32,1024,1024,15.0588,0,4456448,8650752,0.25,regs,256,4608.0,1.0,100,256.0,67108864,0.0,2,,32.0,32.0,16.0,,32.0,4.0,0.6783,1.05165,1.06547,0.72115,0.72269,0.25,236,4608.0,0.0,0,1,1,,
reduction,sibling_redux_n64,pointwise,reduction,float16,1024,1024,53.8947,0,2490368,8781824,0.25,regs,256,5120.0,1.0,524,256.0,134217728,0.0,4,,32.0,32.0,16.0,,64.0,4.0,0.4589,5.07469,5.09619,2.33395,2.33843,0.25,256,2304.0,1.0,52,1,1,,
reduction,sibling_redux_n64,pointwise,reduction,float32,1024,1024,28.4444,0,4718592,17301504,0.25,regs,256,4608.0,1.0,524,256.0,134217728,0.0,4,,32.0,32.0,16.0,,64.0,4.0,0.2877,4.91776,4.97088,1.42413,1.43014,0.25,236,4608.0,0.0,0,1,1,,
reduction,sibling_redux_n128,pointwise,reduction,float16,1024,1024,93.0909,0,2883584,17563648,0.25,regs,256,5120.0,1.0,844,256.0,268435456,0.0,8,,32.0,32.0,16.0,,128.0,4.0,0.4013,11.50157,11.64467,4.66432,4.67302,0.25,256,2304.0,1.0,52,1,1,,
reduction,sibling_redux_n128,pointwise,reduction,float32,1024,1024,51.2,0,5242880,34603008,0.25,regs,256,4608.0,1.0,848,256.0,268435456,0.0,8,,32.0,32.0,16.0,,128.0,4.0,0.2476,11.26195,11.45485,2.83443,2.83648,0.25,236,4608.0,0.0,0,1,1,,
reduction,sibling_redux_n32,pointwise,reduction,float16,2048,2048,30.5672,1,8781824,17170432,0.25,regs,256,4608.0,1.0,100,256.0,268435456,0.0,2,,32.0,32.0,16.0,,32.0,4.0,1.065,2.18035,2.1975,2.33446,2.34035,0.25,256,2304.0,1.0,52,1,1,,
reduction,sibling_redux_n32,pointwise,reduction,float32,2048,2048,15.5152,0,17301504,34078720,0.25,regs,256,4608.0,1.0,100,256.0,268435456,0.0,2,,32.0,32.0,16.0,,32.0,4.0,0.6341,2.23693,2.26394,1.4336,1.43552,0.25,236,4608.0,0.0,0,1,1,,
